Notes,Race,Race Code,Cause of death,Cause of death Code,Ten-Year Age Groups,Ten-Year Age Groups Code,Gender,Gender Code,Deaths,Population,Crude Rate
,Black or African American,2054-5,"Bladder, unspecified - Malignant neoplasms",C67.9,65-74 years,65-74,Male,M,10,Not Applicable,Not Applicable
,Black or African American,2054-5,"Bladder, unspecified - Malignant neoplasms",C67.9,75-84 years,75-84,Male,M,17,Not Applicable,Not Applicable
,Black or African American,2054-5,"Bladder, unspecified - Malignant neoplasms",C67.9,85+ years,85+,Female,F,11,Not Applicable,Not Applicable
,Black or African American,2054-5,"Bladder, unspecified - Malignant neoplasms",C67.9,85+ years,85+,Male,M,10,Not Applicable,Not Applicable
,Black or African American,2054-5,"Head, face and neck - Malignant neoplasms",C76.0,45-54 years,45-54,Male,M,10,Not Applicable,Not Applicable
,Black or African American,2054-5,Malignant neoplasm without specification of site,C80,35-44 years,35-44,Female,F,12,Not Applicable,Not Applicable
,Black or African American,2054-5,Malignant neoplasm without specification of site,C80,45-54 years,45-54,Female,F,20,Not Applicable,Not Applicable
,Black or African American,2054-5,Malignant neoplasm without specification of site,C80,45-54 years,45-54,Male,M,25,Not Applicable,Not Applicable
,Black or African American,2054-5,Malignant neoplasm without specification of site,C80,55-64 years,55-64,Female,F,28,Not Applicable,Not Applicable
,Black or African American,2054-5,Malignant neoplasm without specification of site,C80,55-64 years,55-64,Male,M,49,Not Applicable,Not Applicable
,Black or African American,2054-5,Malignant neoplasm without specification of site,C80,65-74 years,65-74,Female,F,48,Not Applicable,Not Applicable
,Black or African American,2054-5,Malignant neoplasm without specification of site,C80,65-74 years,65-74,Male,M,62,Not Applicable,Not Applicable
,Black or African American,2054-5,Malignant neoplasm without specification of site,C80,75-84 years,75-84,Female,F,39,Not Applicable,Not Applicable
,Black or African American,2054-5,Malignant neoplasm without specification of site,C80,75-84 years,75-84,Male,M,32,Not Applicable,Not Applicable
,Black or African American,2054-5,Malignant neoplasm without specification of site,C80,85+ years,85+,Female,F,19,Not Applicable,Not Applicable
,Black or African American,2054-5,Malignant neoplasm without specification of site,C80,85+ years,85+,Male,M,11,Not Applicable,Not Applicable
,Black or African American,2054-5,"Non-Hodgkin lymphoma, unspecified type",C85.9,45-54 years,45-54,Male,M,15,Not Applicable,Not Applicable
,Black or African American,2054-5,"Non-Hodgkin lymphoma, unspecified type",C85.9,55-64 years,55-64,Female,F,13,Not Applicable,Not Applicable
,Black or African American,2054-5,"Non-Hodgkin lymphoma, unspecified type",C85.9,55-64 years,55-64,Male,M,15,Not Applicable,Not Applicable
,Black or African American,2054-5,"Non-Hodgkin lymphoma, unspecified type",C85.9,65-74 years,65-74,Female,F,14,Not Applicable,Not Applicable
,Black or African American,2054-5,"Non-Hodgkin lymphoma, unspecified type",C85.9,65-74 years,65-74,Male,M,20,Not Applicable,Not Applicable
